成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2021,招待講演,国際,無,Analog to the Rescue? Analog Deep Learning Accelerator Aspects and Challenges,Kentaro Yoshioka,IEEE Asian Solid-State Circuits Conference,,2021/11/04,,,,,
2021,招待講演,国際,無,Nonparametric Invertible Regression Between Closed Hypercubes,"M. Imaizumi, A. Okuno",Computational and Methodological Statistics,,2021/12/17,,,,,
2021,招待講演,国際,無,Stability of Deep Network Estimator for Nonparametric Regression with Adversarial Training,Masaaki Imaizumi,Workshop on Functional Inference and Machine Intelligence,,2022/03/29,,,,,
2022,招待講演,国際,無,Benign overfitting in stochastic regression,"S.Nakakita, M. Imaizumi",EcoSta,,2022/05/24,,,,,
2022,招待講演,国際,有,M. Imaizumi,Hypothesis Test and Confidence Analysis with Wasserstein Distance on General Dimension,EcoSta,,2022/06/15,,,,,
2022,招待講演,国際,無,Algorithm/Hardware Co-design for Reliable AI,Shinya Takamaeda-Yamazaki,"The 2022 International Meeting for Future of Electron Devices, Kansai (IMFEDK 2022)",,2022/11/28,,,,,
2022,招待講演,国際,無,Theory of Deep Learning and Overparmeterization,Masaaki Imaizumi,"Online Asian Machine Learning School, Asian Conference on Machine Learning",,2022/12/13,,,,,
2022,招待講演,国際,無,High-dimensional asymptotics for single-index models via approximate message passing,"Y. Uematsu, K. Sawaya, M. Imaizumi",CMStatistics,,2022/12/20,,,,,
2022,招待講演,国際,無,Sup-norm convergence of deep network estimator for nonparametric regression with corrected adversarial training,M. Imaizumi,CMStatistics,,2022/12/20,,,,,
2022,招待講演,国際,無,High-Dimensional Estimators: Universality and Non-Linearity,Masaaki Imaizumi,Workshop on Functional Inference and Machine Intelligence,,2023/03/14,,,,,
2024,招待講演,国際,無,Zenohex: a Pub/Sub based Communication Library from Device to the Cloud,Hideki Takase,Multicore and Multiprocessor SoCs (MPSoCs) 2024,,2024/07/08,,,,,
2024,招待講演,国際,無,Towards Efficient and Precise Analog Compute-in-Memory Circuits,"K. Yoshioka, S. Ando, S. Miyagi, Y-C Chen, W. Zhang",SSDM,,2024/09/04,,,,,
