成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2021,研究論文（会議録、プロシーディングス）,国際,研究論文(会議 録、プロシーデ ィングス),"M.Kato,M.Imaizumi,K.McAlinn,S.Yasui,H.Kakehi",Proceedings ofInternationalConference onLearningRepresentations,,2022/01/10,,,,,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,Accelerating Decision TreeEnsemble with GuidedBranch Approximation,KeisukeKamahori andShinyaTakamaeda-Yamazaki,InternationalSymposium onHighly-EfficientAccelerators andReconfigurableTechnologies2022 (HEART2022),10.1145/3535044.3535048,2022/06/09,,,24,32.0,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,Towards Large-ScaleMeasurement Study onLiDAR Spoofing Attacksagainst Object Detection,"T. Sato,Y.Hayakawa,R.Suzuki,Y.Shiiki,K.Yoshioka, Q.Chen",ACM SIGSACConference onComputer andCommunicationsSecurity (CCS’22),,2022/11/07,,,,,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,Multi-Input AdaptiveActivation Function for BinaryNeural Networks,Peiqi Zhangand ShinyaTakamaeda-Yamazaki,10th InternationalWorkshop onComputerSystems andArchitectures(CSA 2022),10.1109/CANDARW57323.2022.00062,2022/11/21,,,90,96.0,有,published,無,CSA Best PaperAward
2022,研究論文（会議録、プロシーディングス）,国際,Model-based FederatedReinforcement Distillation,Sefutsu Ryuand ShinyaTakamaeda-Yamazaki,IEEE GlobalCommunicationsConference 2022(GLOBECOM2022),10.1109/GLOBECOM48099.2022.10000678,2022/12/04,,,1109,1114.0,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,FADEC: FPGA-basedAcceleration of Video DepthEstimation by HW/SW Co-design,NobuhoHashimoto andShinyaTakamaeda-Yamazaki,InternationalConference onFieldProgrammableTechnology (FPT2022),10.1109/ICFPT56656.2022.9974565,2022/12/05,,,1,9.0,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,Elastic Sample Filter: AnFPGA-based Accelerator forBayesian Network StructureLearning,"Ryota Miyagi,Ryota Yasudo,Kentaro Sano,Hideki Takase",Proceedings of2022 IEEEInternationalConference onField-ProgrammableTechnology (FPT),10.1109/ICFPT56656.2022.9974196,2022/12/15,,,,,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,Unified Perspective onProbability Divergence viaMaximum Likelihood DensityRatio Estimation: BridgingKL-Divergence and IntegralProbability Metrics,"Masahiro Kato,MasaakiImaizumi,KentaroMinami",PMLR: ArtificialIntelligence andStatistics,,2023/02/06,,,,,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,WIP: Practical RemovalAttacks on LiDAR-basedObject Detection inAutonomous Driving,"T. Sato,Y.Hayakawa,R.Suzuki,Y.Shiiki,K.Yoshioka, Q.Chen",VehicleSec,,2023/02/27,,,,,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,F2MKD: Fog-enabledFederated Learning withMutual Knowledge Distillation,"YusukeYamasaki,Hideki Takase",Proceedings of2023 IEEE 20thConsumerCommunications& NetworkingConference(CCNC),10.1109/CCNC51644.2023.10059910,2023/03/17,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Cachet: A High-PerformanceJoint-Subtree IntegrityVerification for Secure Non-Volatile Memory,Tatsuya Kuboand ShinyaTakamaeda-Yamazaki,IEEE Symposiumon Low-Powerand High-SpeedChips andSystems (COOLChips 26),https://doi.org/10.1109/COOLCHIPS57690.2023.10122117,2023/04/19,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poster: Multi UVs-BasedNarrow Sewer InspectionSystem - UVs FormationControl and Video Streaming,"S. Ishihara, Y.Chikamoto, Y.Tsutsumi andT. V. Pham",2023 IEEEVehicularNetworkingConference (VNC),10.1109/VNC57357.2023.10136331,2023/04/26,,,173,174.0,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,An asynchronous federatedlearning focusing on updatedmodels for decentralizedsystems with a practicalframework,"YusukeKanamori,YusukeYamasaki,ShintaroHosoai, HiroshiNakamura andHideki Takase","Proceedings 2023IEEE 47th AnnualComputers,Software, andApplicationsConference(COMPSAC)",10.1109/COMPSAC57700.2023.00173,2023/06/30,,,1147,1154.0,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A LiDAR Point Cloud DataFusion from ConnectedAutonomous Vehicles toreduce Network TrafficCongestion at Server,"HaripriyaPasupuleti,YoshinaoWada, KenjiroYamada,Takuro Sone,and TomoyaKitani",Proceedings ofInternationalWorkshop onInformatics,,2023/09/01,2023,,77,83.0,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,High-Level Synthesis ofMemory Systems forDecoupled DataOrchestration,Masayuki Usuiand ShinyaTakamaeda-Yamazaki,19th InternationalSymposium onAppliedReconfigurableComputing (ARC2023),https://doi.org/10.1007/978-3-031-42921-7_1,2023/09/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A mobile recording systemfeaturing high-precision timesynchronization,"Takuro Sone,TakehiroMaeda, andTomoya Kitani","The EvolvingScholar - BMD2023, 5th Edition",10.59490/65044cb10ab6b78be7b9aa84,2023/10/18,,,1,7.0,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poison Egg: ScramblingFederated Learning withDelayed Backdoor Attack,"MasayoshiTsutsui,TatsuyaKaneko, andShinyaTakamaeda-Yamazaki",3rd InternationalConference onUbiquitousSecurity 2023(UbiSec-2023),https://doi.org/10.1007/978-981-97-1274-8_13,2023/11/01,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,PeriCam: A SmartphoneApplication for Utility HoleInspection,"S. Ishihara, H.Yamano, T. V.Pham and E.Hirai",2023 FourteenthInternationalConference onMobile Computingand UbiquitousNetwork (ICMU),10.23919/ICMU58504.2023.10412251,2023/11/29,,,1,2.0,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,GeMP-BNN: High-Performance Sampling-FreeBayesian Neural NetworkAccelerator with GaussianError Moment Propagation,"Yuki Hirayama,Kengo Suga,and ShinyaTakamaeda-Yamazaki",16th IEEEInternationalSymposium onEmbeddedMulticore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00083,2023/12/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,MAO: Memory ArchitectureObfuscation,Sun Tanakaand ShinyaTakamaeda-Yamazaki,16th IEEEInternationalSymposium onEmbeddedMulticore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00042,2023/12/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,FS-Boost: Communication-Efficient Federated Subtree-based Gradient BoostingDecision Trees,"KotaroShimamura,and ShinyaTakamaeda-Yamazaki",IEEE ConsumerCommunicationsand NetworkingConference 2024(CCNC 2024),http://dx.doi.org/10.1109/CCNC51664.2024.10454880,2024/01/06,,,,,有,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,SRT-based cooperative videotransmission protocol forinspection of small diametersewer pipes using multipledrifting wireless cameras,"Y. Shimizu, T.Pham and S.Ishihara",2024 InternationalConference onInformationNetworking(ICOIN),10.1109/ICOIN59985.2024.10572081,2024/01/17,,,17,22.0,有,published,無,
