成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2022,研究論文（学術雑誌）,国際,Advantage of Deep NeuralNetworks for EstimatingFunctions with Singularity onHypersurface,"MasaakiImaizumi, KenjiFukumizu",Journal ofMachine LearningResearch,,2022/02/23,23,111,1,54.0,有,published,無,
2021,研究論文（学術雑誌）,国際,Hypothesis Test andConfidence Analysis withWasserstein Distance onGeneral Dimension,"M.Imaizumi,H.Ota,T.Hamaguchi",NeuralComputation,,2022/03/15,,,,,有,published,有,
2021,研究論文（学術雑誌）,国際,Building a Robust RTK-GNSS Infrastructure withSeamless Handover and aMultipath Detection Approach,"BhagawanRokaha,Bishnu PrasadGautam,Tomoya Kitani",InternationalJournal ofInformaticsSociety,,2022/03/31,13,3,115,128.0,有,published,無,
2022,研究論文（学術雑誌）,国際,On Generalization Bounds forDeep Networks Based onLoss Surface ImplicitRegularization,"MasaakiImaizumi,JohannesSchmidt-Hieber",IEEE Transactionon InformationTheory,10.1109/TIT.2022.3215088,2022/10/14,69,2,1203,1223.0,有,published,有,
2022,研究論文（学術雑誌）,国際,Instrumental VariableRegression via KernelMaximum Moment Loss,"Rui Zhang,MasaakiImaizumi,BernardSchölkopf,KrikamolMuandet",Journal of CausalInference,10.1515/jci-2022-0073,2023/01/10,11,1,,,有,published,有,
2023,研究論文（学術雑誌）,国際,Impact of a Pothole on RoadUser Response in Terms ofDriving Safety and Comfortfor Pavement MaintenancePrioritization,"Lijalem Yallew,Gatot Virgianto,Marei Inagi,KazuyaTomiyama",Journal of JSCE,10.2208/journalofjsce.23-21035,2023/11/20,11-2,23-21035,1,9.0,有,published,無,
2023,研究論文（学術雑誌）,国際,MITA: Multi-Input AdaptiveActivation Function forAccurate Binary NeuralNetwork Hardware,Peiqi Zhangand ShinyaTakamaeda-Yamazaki,IEICETransactions onInformation andSystems,https://doi.org/10.1587/transinf.2023PAP0007,2023/12/01,106-D,12,,,有,published,無,
2023,研究論文（学術雑誌）,国際,Cachet: Low-OverheadIntegrity Verification onMetadata Cache in SecureNon-Volatile MemorySystems,Tatsuya Kuboand ShinyaTakamaeda-Yamazaki,IEEE Micro,https://doi.ieeecomputersociety.org/10.1109/MM.2023.3335354,2024/01/01,44,1,,,有,published,無,
2023,研究論文（学術雑誌）,国際,Scalable MomentPropagation and Analysis ofVariational Distributions forPractical Bayesian DeepLearning,"Yuki Hirayama,and ShinyaTakamaeda-Yamazaki",IEEETransactions onNeural Networksand LearningSystems,https://doi.org/10.1109/TNNLS.2024.3367363,2024/02/27,,,,,有,in press,無,
2022,研究論文（学術雑誌）,国際,Inference for Projection-Based WassersteinDistances on Finite Spaces,"Ryo Okano,MasaakiImaizumi",Statistica Sinica,,2024/04/01,,,657,677.0,有,published,無,
2024,研究論文（学術雑誌）,国際,A Scalable Accelerator forLocal Score Computation ofStructure Learning inBayesian Networks,"Ryota Miyagi,Ryota Yasudo,Kentaro Sano,Hideki Takase",ACM Transactionson ReconfigurableTechnology andSystems,10.1145/3674842,2024/07/02,,,,,有,in press,無,
2022,研究論文（学術雑誌）,国際,Fast Convergence on PerfectClassification for FunctionalData,"TomoyaWakayama,MasaakiImaizumi",Statisitica Sinica,,2024/10/01,,,,,有,in press,無,
