成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2021,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉允聡,中央大学理工学研究所特別講演会,,2021/10/11,,,,,
2021,招待講演,国内,無,機械学習の数理,今泉允聡,数学カフェ,,2021/10/21,,,,,
2021,招待講演,国内,無,高精度衛星測位を応用した位置情報サービスの社会実装事例報告,木谷 友哉,日本航海学会GPS研究会,,2021/10/23,,,,,
2021,招待講演,国内,無,Deep Neural Networks Learn Non-Smooth Functions Effectively,今泉允聡,細谷賞セミナー,,2021/11/04,,,,,
2021,招待講演,国際,無,Analog to the Rescue? Analog Deep Learning Accelerator Aspects andChallenges,Kentaro Yoshioka,IEEE Asian Solid-State CircuitsConference,,2021/11/04,,,,,
2021,口頭発表,国内,無,Nonparametric Invertible Regression Between Closed Hypercubes,"奥野彰文, 今泉允聡",IBIS2021,,2021/11/10,,,,,
2021,口頭発表,国内,無,Gradient Descent Algorithm with Path Kernel-based Machine,"西澤 渉, 今泉允聡",IBIS2021,,2021/11/11,,,,,
2021,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉允聡,顕微鏡計測インフォマティックス部会,,2021/12/10,,,,,
2021,招待講演,国内,無,AIの原理を解き明かす新理論,今泉允聡,JST理事長記者会見,,2021/12/15,,,,,
2021,招待講演,国際,無,Nonparametric Invertible Regression Between Closed Hypercubes,"M. Imaizumi, A. Okuno",Computational andMethodological Statistics,,2021/12/17,,,,,
2021,招待講演,国内,無,機械学習に適したハードウェア，ハードウェアに適した機械学習アルゴリズム,高前田 伸也,情報処理学会第84回全国大会 イベント企画「知能と計算とアーキテクチャの新しい関係を目指して」,,2022/03/04,,,,,
2021,招待講演,国内,無,メカニズムとの学際的統合による新しい分散学習理論基盤の構築,今泉允聡,IBISML,,2022/03/08,,,,,
2021,招待講演,国内,無,多様性と環境変化に寄り添う分散機械学習基盤の実現に向けて,高前田 伸也,電子情報通信学会情報論的学習理論と機械学習研究会 2022-03-IBISML,,2022/03/08,,,,,
2021,招待講演,国際,無,Stability of Deep Network Estimator for Nonparametric Regression withAdversarial Training,Masaaki Imaizumi,Workshop on FunctionalInference and MachineIntelligence,,2022/03/29,,,,,
2021,ポスター・デモ,国際,有,Exponential escape efficiency of SGD from sharp minima in non-stationary regime,"H. Ibayashi, M. Imaizumi",Workshop on FunctionalInference and MachineIntelligence,,2022/03/30,,,,,
