成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2021,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位を用いた地すべりブロックの長期監視システムの設計とその初期検証結果,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-MBL-101,30,1,9,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,物体検出手法YOLOで用いる学習データセットのラベル付与方法の変化による自動二輪車検出精度向上の検証,"中島 健介, 佐久間 尚紀, 中安 淳也, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-ITS-87,12,1,10,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ADASでの実装可能性を考慮した赤外線カメラと赤外線マーカによる二輪車検出に関する検証,"井上 裕貴, 北村浩章, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-ITS-87,11,1,8,無,published,無,
2021,研究論文（会議録、プロシーディングス）,国際,研究論文(会議録、プロシーディングス),"M. Kato, M. Imaizumi, K. McAlinn, S. Yasui, H. Kakehi",Proceedings of International Conference on Learning Representations,,2022/01/10,,,,,有,published,有,
2022,研究論文（学術雑誌）,国際,Advantage of Deep Neural Networks for Estimating Functions with Singularity on Hypersurface,"Masaaki Imaizumi, Kenji Fukumizu",Journal of Machine Learning Research,,2022/02/23,23,111,1,54,有,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,隠れニューラルネットワークに基づく連合学習の通信量削減手法,"筒井 政成, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/10,CPSY2021-50,,32,37,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,連合強化学習における蒸留手法の検討,"劉 世芾, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/10,CPSY2021-52,,44,49,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,mROS 2：組込みデバイス向けのROS 2ノード軽量実行環境,"高瀬 英希, 祐源英俊",情報処理学会研究報告,,2022/03/10,2020-EMB-59,37,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ROS 2ノード軽量実行環境mROS 2における任意型メッセージの通信処理方式,"檜原 陽一郎, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2022/03/10,2022-EMB-59,38,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,機械学習ベースの動画像処理における近似計算手法の検討,"橋本 信歩, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/11,CPSY2021-59,,85,90,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ElixirによるROS 2クライアントライブラリの任意型メッセージの通信手法,"佐藤 弘之, 武田 大輝, 菊地 俊介, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2022/03/11,2022-ARC-248,50,1,8,無,published,無,
2021,研究論文（学術雑誌）,国際,Hypothesis Test and Confidence Analysis with Wasserstein Distance on General Dimension,"M. Imaizumi, H.Ota, T.Hamaguchi",Neural Computation,,2022/03/15,,,,,有,published,有,
2021,研究論文（研究会、シンポジウム資料等）,国内,共分散行列近似による効率的な決定論的ベイジアン深層学習,"平山 侑樹, 高前田 伸也",人工知能学会 第119回人工知能基本問題研究会,,2022/03/23,,,,,無,published,無,
2021,研究論文（学術雑誌）,国際,Building a Robust RTK-GNSS Infrastructure with Seamless Handover and a Multipath Detection Approach,"Bhagawan Rokaha, Bishnu Prasad Gautam, Tomoya Kitani",International Journal of Informatics Society,,2022/03/31,13,3,115,128,有,published,無,
2022,研究論文（学術雑誌）,国内,超曲面上に特異性を持つ関数推定における深層ニューラルネットワークの優位性,今泉 允聡,日本統計学会誌,jjssj.52.33,2022/05/01,52,1,,,有,published,無,日本統計学会小川研究奨励賞特別寄稿論文
2022,研究論文（研究会、シンポジウム資料等）,国内,組込み向けROS 2ノード実行環境の定量的評価,"高瀬 英希, 檜原 陽一郎",ロボティクス・メカトロニクス講演会2022 講演論文集,,2022/06/01,,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,Accelerating Decision Tree Ensemble with Guided Branch Approximation,Keisuke Kamahori and Shinya Takamaeda-Yamazaki,International Symposium on Highly-Efficient Accelerators and Reconfigurable Technologies 2022 (HEART2022),10.1145/3535044.3535048,2022/06/09,,,24,32,有,published,無,
2022,研究論文（学術雑誌）,国内,Time-Based Current Source:A Highly Digital Robust Current Generator forSwitched Capacitor Circuits,Kentaro Yoshioka,IEICE Transactions on Electronics,,2022/07/01,105,7,324,333,有,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,ロボットソフトウェア軽量実行環境mROS 2のPOSIX対応の検討,"細合 晋太郎, 田中 晴亮, 高瀬 英希",情報処理学会研究報告,,2022/07/01,2022-EMB-60,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,A Modeling of Road-Side Unit(RSU) Deployment forEfficient WiFi Offloading inUrban Areas,"NadaMohammedNour, Tomoya Kitani","情報処理学会 マルチメディア, 分散, 協調とモバイル（DICOMO2022）シンポジウム論文集",,2022/07/06,,,622,626,無,published,無,
2022,研究論文（学術雑誌）,国内,高精度衛星測位技術を用いたデジタル道路地図の精度向上と検証,"外谷 新, 木谷 友哉",日本測量協会 応用測量論文集,,2022/08/01,33,,3,12,有,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位を用いた地すべり監視システムの実現可能性の初期検証,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 和田 善尚, 木谷 友哉","土木情報学シンポジウム 講演集,",,2022/09/01,47,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,メッセージフェリー手法を用いた現地観測データ収集システムの設計とその初期検証,"宇佐美 拓真, 宮田 秀介, 井上公, 瀬川 佳祐, 曽根 卓朗, 和田 善尚, 杉田 暁, 木谷 友哉",土木情報学シンポジウム 講演集,,2022/09/01,47,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,ロボットソフトウェア軽量実行環境mROS2のPOSIX対応に向けた実装および評価,"高瀬 英希, 田中 晴亮, 細合 晋太郎",第40回日本ロボット学会学術講演会予稿集,,2022/09/05,,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,hakoniwa-ros2sim: 仮想環境を活用した ROS 2 アプリケーションのシミュレーション手法,"高瀬 英希, 細合 晋太郎, 福田 竜也, 高田 光隆, 久保 秋真, 森 崇",第40回日本ロボット学会学術講演会予稿集,,2022/09/05,,,,,無,published,無,
2022,研究論文（学術雑誌）,国内,A Tutorial and Review of Automobile Direct ToF LiDAR SoCs: Evolution of Next-Generation LiDARs,Kentaro Yoshioka,IEICE Transactions on Electronics,,2022/10/01,E105-C,10,,,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,An Image Processing-Based Motorcycle Detection System with Infrared Markers and an Onboard Infrared Camera,"Tomoya Kitani, Yuki Inoue, Hiroaki Kitamura, Tomoya Terada, Shunsuke Nagai",2022 JSAE Annual Congress (Autumn) Proceedings,,2022/10/01,,102-22,1,2,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,深層学習ベースの物体検出手法を用いて車載カメラ画像から交通環境内の二輪車を検出する際の学習モデルの構築方法の提案と検出性能の変化に関する実験評価,"中島 健介, 佐久間 尚紀, 市川倫太郎, 中安 淳也, 木谷 友哉",自動車技術会2022年秋季大会学術講演会 講演予稿集,,2022/10/01,,102-22,1,2,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,動画像を入力とした深度推定のHW/SW協調設計によるFPGAベースの高速化手法,"橋本 信歩, 高前田 伸也",情報処理学会研究会報告2022-ARC-250,,2022/10/04,,,1,11,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,回帰木に基づく畳み込み演算の直接近似手法,"空閑 康太, 高前田 伸也",電子情報通信学会研究会報告CPSY2022-26,,2022/10/04,,,1,5,無,published,無,情報処理学会システム・アーキテクチャ研究会若手奨励賞受賞
2022,研究論文（学術雑誌）,国際,On Generalization Bounds for Deep Networks Based on Loss Surface Implicit Regularization,"Masaaki Imaizumi, Johannes Schmidt-Hieber",IEEE Transaction on Information Theory,10.1109/TIT.2022.3215088,2022/10/14,69,2,1203,1223,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,Towards Large-Scale Measurement Study on LiDAR Spoofing Attacks against Object Detection,"T. Sato, Y.Hayakawa, R.Suzuki, Y.Shiiki, K. Yoshioka, Q.Chen",ACM SIGSAC Conference on Computer and Communications Security (CCS’22),,2022/11/07,,,,,有,published,有,
2022,研究論文（研究会、シンポジウム資料等）,国内,顔認証タスクを事例とした連合学習システムの実機実装,"山﨑 雄輔, 高瀬 英希",情報処理学会研究報告,2022-EMB-61,2022/11/10,2022-EMB-61,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,Multi-Input Adaptive Activation Function for Binary Neural Networks,Peiqi Zhang and Shinya Takamaeda-Yamazaki,10th International Workshop on Computer Systems and Architectures (CSA 2022),10.1109/CANDARW57323.2022.00062,2022/11/21,,,90,96,有,published,無,CSA Best PaperAward
2022,研究論文（会議録、プロシーディングス）,国際,Model-based Federated Reinforcement Distillation,Sefutsu Ryu and Shinya Takamaeda-Yamazaki,IEEE Global Communications Conference 2022 (GLOBECOM 2022),10.1109/GLOBECOM48099.2022.10000678,2022/12/04,,,1109,1114,有,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,FADEC: FPGA-based Acceleration of Video Depth Estimation by HW/SW Co-design,Nobuho Hashimoto and Shinya Takamaeda-Yamazaki,International Conference on Field Programmable Technology (FPT2022),10.1109/ICFPT56656.2022.9974565,2022/12/05,,,1,9,有,published,無,
