成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2022,研究論文（学術雑誌）,国際,Fast Convergence on Perfect Classification for Functional Data,"Tomoya Wakayama, Masaaki Imaizumi",Statisitica Sinica,,2024/10/01,,,,,有,in press,無,
2024,研究論文（学術雑誌）,国際,A Scalable Accelerator for Local Score Computation of Structure Learning in Bayesian Networks,"Ryota Miyagi, Ryota Yasudo, Kentaro Sano, Hideki Takase",ACM Transactions on Reconfigurable Technology and Systems,10.1145/3674842,2024/07/02,,,,,有,in press,無,
2022,研究論文（学術雑誌）,国際,Inference for Projection-Based Wasserstein Distances on Finite Spaces,"Ryo Okano, Masaaki Imaizumi",Statistica Sinica,,2024/04/01,,,657,677,有,published,無,
2023,研究論文（学術雑誌）,国際,Scalable Moment Propagation and Analysis of Variational Distributions for Practical Bayesian Deep Learning,"Yuki Hirayama, and Shinya Takamaeda-Yamazaki",IEEE Transactions on Neural Networks and Learning Systems,https://doi.org/10.1109/TNNLS.2024.3367363,2024/02/27,,,,,有,in press,無,
2023,研究論文（学術雑誌）,国際,Cachet: Low-Overhead Integrity Verification on Metadata Cache in Secure Non-Volatile Memory Systems,Tatsuya Kubo and Shinya Takamaeda-Yamazaki,IEEE Micro,https://doi.ieeecomputersociety.org/10.1109/MM.2023.3335354,2024/01/01,44,1,,,有,published,無,
2023,研究論文（学術雑誌）,国際,MITA: Multi-Input Adaptive Activation Function for Accurate Binary Neural Network Hardware,Peiqi Zhang and Shinya Takamaeda-Yamazaki,IEICE Transactions on Information and Systems,https://doi.org/10.1587/transinf.2023PAP0007,2023/12/01,106-D,12,,,有,published,無,
2023,研究論文（学術雑誌）,国際,Impact of a Pothole on Road User Response in Terms of Driving Safety and Comfort for Pavement Maintenance Prioritization,"Lijalem Yallew, Gatot Virgianto, Marei Inagi, Kazuya Tomiyama",Journal of JSCE,10.2208/journalofjsce.23-21035,2023/11/20,11-2,23-21035,1,9,有,published,無,
2022,研究論文（学術雑誌）,国際,Instrumental Variable Regression via Kernel Maximum Moment Loss,"Rui Zhang, Masaaki Imaizumi, Bernard Schölkopf, Krikamol Muandet",Journal of Causal Inference,10.1515/jci-2022-0073,2023/01/10,11,1,,,有,published,有,
2022,研究論文（学術雑誌）,国際,On Generalization Bounds for Deep Networks Based on Loss Surface Implicit Regularization,"Masaaki Imaizumi, Johannes Schmidt-Hieber",IEEE Transaction on Information Theory,10.1109/TIT.2022.3215088,2022/10/14,69,2,1203,1223,有,published,有,
2021,研究論文（学術雑誌）,国際,Building a Robust RTK-GNSS Infrastructure with Seamless Handover and a Multipath Detection Approach,"Bhagawan Rokaha, Bishnu Prasad Gautam, Tomoya Kitani",International Journal of Informatics Society,,2022/03/31,13,3,115,128,有,published,無,
2021,研究論文（学術雑誌）,国際,Hypothesis Test and Confidence Analysis with Wasserstein Distance on General Dimension,"M. Imaizumi, H.Ota, T.Hamaguchi",Neural Computation,,2022/03/15,,,,,有,published,有,
2022,研究論文（学術雑誌）,国際,Advantage of Deep Neural Networks for Estimating Functions with Singularity on Hypersurface,"Masaaki Imaizumi, Kenji Fukumizu",Journal of Machine Learning Research,,2022/02/23,23,111,1,54,有,published,無,
