成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2024,研究論文（研究会、シンポジウム資料等）,国内,Zenoh通信基盤を活用した現実空間と仮想空間を繋ぐ箱庭ブリッジの設計およびその実証事例,森 崇，平鍋 健児，高田 光隆，久保 秋真，細合 晋太郎，高瀬 英希,第42回 日本ロボット学会学術講演会 講演資料集,,2024/09/04,,,,,無,in press,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,Development of High-Level Synthesis Compiler Automatically Synthesizing Memory Integrity VerificationEngines,Tomoya Nagatani and Shinya Takamaeda-Yamazaki,"The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming(xSIG 2024)",,2024/08/07,,,,,有,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,Hardware/Algorithm Co-design for Gradient Boosting Decision Trees via Bit-Level Early-Termination for Low-Power Embedded Systems,Daichi Tokudaand Shinya Takamaeda-Yamazaki,"The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming(xSIG 2024)",,2024/08/07,,,,,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,Hardware Co-designApproach for Fixed-Weight DNN Accelerators Using Masked Adder Trees,"Yoshiki Ozaki, Tatsuya Kaneko, and Shinya Takamaeda-Yamazaki","The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming(xSIG 2024)",,2024/08/07,,,,,有,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,Edge-Popup Algorithm withSparsely Assigned Scores for Hardware-Efficient Transfer Learning,"Honoka Anada, Sefutsu Ryu, Tatsuya Kaneko, and Shinya Takamaeda-Yamazaki","The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming(xSIG 2024)",,2024/08/07,,,,,有,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,A Study of Deep Reinforcement Learning Based Resource Allocation Strategy in Multi-access Edge Computing Environment,"Huilin Li, Hiroshi Nakamura, Hideki Takase",IPSJ SIGTechnical Reports,,2024/06/03,2024-ARC-257,3,1,8,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,物理ロボットとシミュレーションモデルによる経路探索のための深層強化学習手法,高木 柚李，細合 晋太郎，森 崇，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/06/03,2024-ARC-257,12,1,8,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術を活用したPX4向けドローンシミュレータの検討,森 崇，平鍋 健児，高田 光隆，久保 秋真，細合 晋太郎，高瀬 英希,ロボティクス・メカトロニクス 講演会 2024 in Utsunomiya 講演集,,2024/05/30,1P2-B10,,1,4,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,LiDARの受光センサへ同期信号を与え点群へ精密な時刻情報を付与する手法の提案と実験的評価,"和田 善尚, 曽根 卓朗，長谷川丈, 木谷 友哉",情報処理学会第86回全国大会論文集,,2024/03/17,,4ZA-08,1,2,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型連合学習システムの評価基盤の検討,中田 雅貴，細合 晋太郎，金子 竜也，高前田 伸也，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/03/14,2024-ARC-256,35,1,6,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,異種センサを搭載した地上走行ロボットと飛行ロボットによる協調SLAM,田中 晴亮，細合 晋太郎，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/03/14,2024-EMB-65,43,1,8,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,モデルの特徴表現を活用するクラスタリング連合学習手法の提案,"金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, IBISML2023-49, Vol.123, No.410",,2024/03/04,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,小口径下水管検査のための複数台浮流無線カメラを用いた映像伝送プロトコルSVTP2023の性能評価,"清水裕斗, V.THANH PHAM, 石原 進",電子情報通信学会技術研究報告,,2024/02/29,123,"400, SeMI2023-78",42,47,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術へのmROS 2通信機能の統合によるリアルとバーチャルの融合体験を実現するシステムアーキテクチャの検討,森 崇，高瀬 英希，福田 竜也，高田 光隆，久保 秋真，細合 晋太郎,第24回計測自動制御学会システムインテグレーション部門講演会 講演集,,2023/12/13,,,3899,3904,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイズ深層学習のドロップアウトパターン事前決定による推論高速化手法の検討,"菅 研吾, 平山侑樹, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-34Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,隠れニューラルネットワークにおける整数学習手法の検討,"劉 世芾, 筒井政成, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-33Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 インパルス応答測定に基づいた実現 〜,"丸山 健斗, Thanh V. Pham, 立蔵洋介, 石原 進",電子情報通信学会技術研究報告,,2023/11/21,123,"276, SeMI2023-43",11,16,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,複数移動無線端末を用いた下水管検査システムのための映像データと制御情報の間欠的マルチホップ伝送プロトコル〜実映像によるシミュレーション評価〜,西田明浩，Thanh V. Pham，石原 進,情報処理学会研究報告,,2023/11/16,2023-MBL-109,22,1,8,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,オープンソース仮想シミュレーション環境「箱庭」による強化学習への対応の検討,細合 晋太郎，周莎，高瀬 英希，福田 竜也，高田 光隆，久保 秋真，森 崇,第41回日本ロボット学会学術講演会予稿集,,2023/09/11,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイジアンネットワーク構造学習のための可塑性を備えたFPGAアクセラレータ,宮城 竜大，安戸 僚汰，佐野 健太郎，高瀬 英希,電子情報通信学会研究会報告,,2023/08/04,RECONF2023-15,,7,12,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,連合学習におけるバックドアの発動遅延によるステルスな学習撹乱,"筒井 政成, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-26, Vol.123, No.145",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,インメモリ計算向けオープンソースメモリコンパイラの検討,"久保 龍哉, 藤木 大地, 吉岡 健太郎, 高前田 伸也","情報処理学会研究会報告2023-ARC-254, No.18",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,mros2-esp32: ロボットソフトウェア軽量実行環境の無線通信対応の検討,細合 晋太郎，高瀬 英希,情報処理学会研究報告,,2023/07/07,2023-EMB-63,5,1,2,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,即時性と観測精度を考慮した高精度衛星測位を用いた地すべり監視システムの提案,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 木谷 友哉",情報処理学会 マルチメディア，分散，協調とモバイルシンポジウム2023論文集,,2023/06/28,,,520,528,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 相互相関法を用いた実現 〜,"丸山 健斗, Thanh V. Pham, 石原 進",電子情報通信学会技術研究報告,,2023/05/18,123,"31, SeMI2023-3",9,14,無,published,無,
