成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2024,口頭発表,国内,無,ドローン／PX4をデジタルツインへと導く箱庭技術,森 崇，平鍋 健児，高田 光隆，久保秋 真，細合 晋太郎，高瀬 英希,ROSCon JP 2024,,2024/09/25,,,,,
2024,口頭発表,国内,無,ROS 2のZenoh対応とZenohのROS 2対応,高瀬 英希,ROSCon JP 2024,,2024/09/25,,,,,
2024,口頭発表,国内,無,機械学習による不動産価格予測に夜間光を用いた高精度化,大友 翔一,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,土木フィールドへの情報科学の応用,木谷 友哉,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,オブジェクトベースメディアによる実時間双方向通信基盤,曽根 卓朗,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,信頼される連合学習システムに向けて,金子 竜也,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,ハードウェアとアルゴリズムの協調設計による高効率な機械学習の実現,平山 侑樹,フォレストワークショップ2024,,2024/03/29,,,,,
2023,口頭発表,国内,無,D3-AI: 多様性と環境変化に寄り添う分散機械学習基盤,高前田 伸也,フォレストワークショップ2024,,2024/03/29,,,,,
2023,口頭発表,国内,無,インコンテキスト学習の統計学的解析,今泉 允聡,フォレストワークショップ2024,,2024/03/29,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,計算物理春の学校2024,,2024/03/14,,,,,published
2023,口頭発表,国内,無,確率過程サンプリングと動力学計算の融合による非線形力学系のランドスケープ解析,"仲田資季, 今泉 允聡",日本応用数理学会第20回研究部会連合発表会,,2024/03/04,,,,,published
2023,口頭発表,国内,無,汎用基盤技術研究グループパネルディスカッション,今泉 允聡,AIPシンポジウム 2023年度 成果報告会,,2024/03/01,,,,,published
2023,口頭発表,国内,無,深層学習に関する幾つかの理論研究,今泉 允聡,第4回TREFOIL研究会,,2024/02/21,,,,,published
2023,口頭発表,国内,無,現代的データ科学の数理：新しい高次元統計とインコンテキスト学習の統計理論,今泉 允聡,東京大学数理情報学談話会,,2024/02/19,,,,,published
2023,口頭発表,国内,有,現代的データ科学の数理：新しい高次元統計とインコンテキスト学習の統計理論,今泉 允聡,九州大学数学科統計科学セミナー,,2024/02/16,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,総合研究大学院大学葉山セミナー,,2024/02/13,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論、人工知能の理解への試み,今泉 允聡,情報計測オンラインセミナー,,2024/02/10,,,,,published
2023,口頭発表,国内,無,インコンテキスト学習の統計学的解析,今泉 允聡,統計科学・機械学習・情報数学の最前線,,2024/01/27,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,固体地球科学データ同化/データ駆動型地球科学に関する研究会,,2023/12/18,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,物理屋のための機械学習講義,,2023/12/04,,,,,published
2023,口頭発表,国内,無,深層学習・人工知能の原理に迫る理論の試み,今泉 允聡,日本地震学会春季大会,,2023/11/02,,,,,published
2023,口頭発表,国内,無,ワッサースタイン計量の下での多変量ガウス分布間の回帰モデル,"岡野 遼, 今泉 允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,ゼロから作る深層学習理論,今泉 允聡,IBIS2023チュートリアル,,2023/10/29,,,,,published
2023,口頭発表,国内,有,非スパースな高次元文脈付きバンディット問題,"小宮山 純平, 今泉 允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,量子化回帰モデルの汎化誤差解析,"柏村 周平, 坂田 綾香, 今泉 允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,外れ値を含んだデータにおけるSGDの大域収束性について,"吉田 直生, 今泉 允聡, 仲北 祥悟",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,有,Dimension-free concentration inequalities for sums of weakly dependentrandom matrices,"仲北 祥悟, Pierre Alquier, 今泉 允聡",日本数学会秋季総合分科会,,2023/09/21,,,,,published
2023,口頭発表,国内,無,量子化回帰モデルの統計力学的解析,"柏村 周平, 坂田 綾香, 今泉 允聡",日本物理学会第78回年次大会,,2023/09/17,,,,,published
2023,口頭発表,国内,有,A dimension-free concentration inequality for sums of random matricesunder dependence,"仲北 祥悟, Alquier Pierre, 今泉 允聡",2023年度統計関連学会連合大会,,2023/09/06,,,,,published
2023,口頭発表,国内,無,高次元線形回帰モデルのもとでの条件付き平均処置効果の推定,"加藤 真大, 今泉 允聡",2023年度統計関連学会連合大会,,2023/09/06,,,,,published
2023,口頭発表,国内,有,最適腕識別：適応的実験計画による方策選択,"加藤 真大, 今泉 允聡, 石原卓弥, 北川透",2023年度統計関連学会連合大会,,2023/09/05,,,,,published
2023,口頭発表,国内,無,確率分布のクラスタリング,"岡野 遼, 今泉 允聡",2023年度統計関連学会連合大会,,2023/09/05,,,,,published
2023,口頭発表,国内,無,Augmented Projection Wasserstein 距離,"杉本実優, 今泉 允聡, 岡野 遼",2023年度統計関連学会連合大会,,2023/09/04,,,,,published
