成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2024,招待講演,国内,無,信頼されるAIシステムを支える計算技術〜FPGAを添えて〜,高前田 伸也,電子情報通信学会リコンフィギャラブルシステム研究会,,2024/09/18,,,,,
2024,招待講演,国内,無,ROSことはじめ 〜 通信・分散処理の仕組みを中心として 〜,高瀬 英希,四国情報通信懇談会 ICT研究交流フォーラム ICT技術勉強会,,2024/08/01,,,,,
2024,招待講演,国内,無,関数型言語Elixirによる広域分散IoTシステム向けの資源透過型広域分散コンピューティング環境,高瀬 英希,情報処理学会第66回組込みシステム研究発表会,,2024/07/19,,,,,
2024,招待講演,国内,無,信頼されるAIシステムを支えるコンピューティング技術,高前田 伸也,IEEE 名古屋支部 EducationActivity 講演会,,2024/04/17,,,,,
2024,招待講演,国内,無,高精度、高効率アナログCompute-in-Memory回路に向けて,吉岡 健太郎,集積回路研究会,,2024/04/14,,,,,
2024,招待講演,国内,無,高精度、高効率アナログCompute-in-Memory回路に向けて,吉岡 健太郎,集積回路研究会,,2024/04/14,,,,,
2023,招待講演,国内,無,A 818-4094 TOPS/W Capacitor-Reconfigured CIM Macro for Unified Acceleration of CNNs and Transformers,吉岡 健太郎,ISSCC国内報告会,,2024/03/15,,,,,
2023,招待講演,国内,無,【先進自治体に学ぶ（浜松市×静岡大学）：その3】土木フィールド×情報学による防災研究,木谷 友哉,スマートシティジャパン（SC-Japan）講座 C-R MAPプログラム,,2024/03/15,,,,,
2023,招待講演,国内,無,エコシステム形成に向けたアカデミアの役割,木谷 友哉,浜松市“デジタル・スマートシティ浜松” ウェビナーシリーズ令和5年度 第4回データ連携基盤（FIWARE）活用のエコシステム形成に向けて〜コミュニティーとビジネス環境の強化〜,,2024/01/31,,,,,
2023,招待講演,国内,無,複数の移動無線観測機を用いた下水管検査の省力化の取り組み,石原 進,"電子情報通信学会技術研究報告, 無線通信システム研究会 (RCS)",,2023/12/14,123,"08, RCS2023-183",33,34,published
2023,招待講演,国内,無,精度衛星測位応用研究と土木情報学研究所設立,木谷 友哉,令和5年度 日本測量学会 中部支部 講演会,,2023/07/04,,,,,
2023,招待講演,国内,無,魔法戦士のすすめ〜科学技術分野の文部科学大臣表彰・若手科学者賞受賞に際して〜,高前田 伸也,電子情報通信学会研究会報告CPSY2023-7,,2023/06/06,123,62,,,published
2022,招待講演,国内,無,高次元ガウス近似によるWasserstein距離推定の不確実性評価,今泉 允聡,Workshop OT 2023,,2023/03/15,,,,,
2022,招待講演,国内,無,アナログが世界を救う? アナログコンピューティングの応用と課題,吉岡 健太郎,最適輸送ワークショップ2023,,2023/03/09,,,,,
2022,招待講演,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,フォレストワークショップ2023,,2023/03/01,,,,,
2022,招待講演,国内,無,深層学習を用いた車載カメラによる二輪車の検出 始めとする二輪車情報学研究およびその関連技術の紹介,木谷 友哉,自動車技術会2022年度第6回車外騒音部門委員,,2023/02/20,,,,,
2022,招待講演,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,国立精神・神経医療研究センターの脳病態数理・データ科学セミナーシリーズ,,2023/01/10,,,,,
2022,招待講演,国内,無,mROS 2が拓くIoT Computingの新しいカタチ,高瀬 英希,EdgeTech+ 2022,,2022/11/17,,,,,
2022,招待講演,国内,無,非スパースな高次元漸近論の理論と応用,今泉 允聡,大規模複雑データの理論と方法論˜新たな発展と関連分野への応用˜,,2022/11/10,,,,,
2022,招待講演,国内,無,土木情報学におけるGNSSの新たな役割と技術資料のオープン化,木谷 友哉,GPS/GNSSシンポジウム,,2022/10/20,,2022,,,published
2022,招待講演,国内,無,人を取り巻く社会基盤のデータの活用〜リモートセンシングとモバイルセンシングへの高精度衛星測位応用〜,木谷 友哉,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,信頼できるLiDARに向けて,吉岡 健太郎,情報処理学会IPSJ連続セミナー,,2022/09/26,,,,,
2022,招待講演,国内,無,広域分散型IoTシステムのための包括的コンピューティング技術,高瀬 英希,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,多様性と環境変化に寄り添う信頼される分散機械学習基盤のための要素技術とその応用,高前田 伸也,情報処理学会 連続セミナー2022 「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,メカニズムとの学際的統合による新しい分散学習理論基盤の構築,今泉 允聡,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,線形時系列モデルにおける良性過適合,仲北 祥悟、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,招待講演,国内,無,多様性と環境変化に寄り添うエッジAI基盤の実現に向けて,高前田 伸也,DAシンポジウム2022,,2022/08/24,,,167,167,published
2022,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉 允聡,電子情報通信学会Webinarチュートリアルシリーズ,,2022/08/15,,,,,
2022,招待講演,国内,無,深層学習の原理に挑む理論の試み,今泉 允聡,第46回IBISML研究会,,2022/06/28,,,,,
2022,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,Masaaki Imaizumi,JFFoS,,2022/06/10,,,,,
